player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Jalen Duren,0.6234894696393547,0.63125,303,480,0.00776053036064524,0.007760530360645279
Jimmy Butler III,0.5119032340720473,0.5194805194805194,240,462,0.007577285408472156,0.007577285408472134
Andrew Wiggins,0.46352771280440314,0.470679012345679,305,648,0.007151299541275928,0.007151299541275857
Zion Williamson,0.5771823404520395,0.583941605839416,320,548,0.006759265387376522,0.0067592653873764785
Devin Vassell,0.4158081687164847,0.42244897959183675,207,490,0.006640810875352054,0.006640810875352066
Harrison Barnes,0.43777214073262816,0.44419134396355353,195,439,0.00641920323092536,0.006419203230925374
Myles Turner,0.43466536747643486,0.4409937888198758,213,483,0.006328421343440922,0.006328421343440915
Marvin Bagley III,0.609938755363656,0.6162361623616236,167,271,0.00629740699796759,0.006297406997967547
Kyshawn George,0.43525941632033277,0.4412878787878788,233,528,0.006028462467545994,0.006028462467546014
Isaiah Stewart,0.5338890257381291,0.5398230088495575,183,339,0.005933983111428371,0.0059339831114283426
Bub Carrington,0.3969347454076699,0.4021505376344086,187,465,0.005215792226738698,0.005215792226738736
Jalen Suggs,0.4380529112445405,0.44324324324324327,164,370,0.0051903319987028,0.00519033199870278
Jalen Smith,0.48355219876536515,0.4878048780487805,160,328,0.0042526792834153525,0.004252679283415328
LeBron James,0.49780817393579074,0.5017006802721088,295,588,0.003892506336318141,0.0038925063363180468
Donte DiVincenzo,0.4080726987064583,0.41156462585034015,242,588,0.003491927143881826,0.0034919271438818567
Julian Champagnie,0.4186760688836985,0.421978021978022,192,455,0.0033019530943234903,0.003301953094323462
Egor Dëmin,0.40341367236923403,0.4064039408866995,165,406,0.0029902685174654844,0.0029902685174654775
Toumani Camara,0.4392917799407543,0.4408783783783784,261,592,0.0015865984376241017,0.0015865984376240982
Kelly Oubre Jr.,0.4685110521763608,0.46920821114369504,160,341,0.0006971589673342418,0.0006971589673342438
RJ Barrett,0.4808824972261099,0.48148148148148145,208,432,0.0005989842553716431,0.0005989842553715818
Franz Wagner,0.4785832175949427,0.47897196261682246,205,428,0.0003887450218797465,0.0003887450218797439
Cooper Flagg,0.4824260542283538,0.48227848101265824,381,790,-0.0001475732156955716,-0.00014757321569552895
Cade Cunningham,0.46193215852830205,0.46170921198668147,416,901,-0.00022294654162061114,-0.00022294654162058336
Peyton Watson,0.4967378882023819,0.49624060150375937,264,532,-0.000497286698622501,-0.0004972866986225344
Paul George,0.42491524088026583,0.423728813559322,150,354,-0.0011864273209437849,-0.001186427320943817
Lauri Markkanen,0.47963123712402145,0.4782608695652174,374,782,-0.0013703675588040668,-0.001370367558804042
James Harden,0.4221434249803595,0.42039800995024873,338,804,-0.0017454150301107496,-0.0017454150301107751
Klay Thompson,0.39010913154381266,0.3875968992248062,200,516,-0.0025122323190064303,-0.0025122323190064355
Rudy Gobert,0.7055131348012165,0.7026239067055393,241,343,-0.0028892280956770906,-0.0028892280956771543
Victor Wembanyama,0.5137346331180875,0.5107033639143731,334,654,-0.003031269203714407,-0.0030312692037144373
Khris Middleton,0.4302668982710297,0.4272151898734177,135,316,-0.0030517083976119787,-0.003051708397611985
Gary Trent Jr.,0.38776191244687125,0.38439306358381503,133,346,-0.0033688488630562578,-0.0033688488630562174
Coby White,0.44109012005895704,0.43765903307888043,172,393,-0.0034310869800766573,-0.003431086980076603
Gary Payton II,0.5358418632641838,0.5318181818181819,117,220,-0.004023681446001967,-0.004023681446001959
Keegan Murray,0.433870566352957,0.42857142857142855,111,259,-0.005299137781528448,-0.005299137781528462
Jake LaRavia,0.47078164568973807,0.4652956298200514,181,389,-0.005486015869686678,-0.005486015869686667
Deni Avdija,0.468297803129164,0.4627450980392157,354,765,-0.005552705089948289,-0.005552705089948318
Tobias Harris,0.46140446133494223,0.455470737913486,179,393,-0.005933723421456194,-0.005933723421456205
Cedric Coward,0.4740754550480232,0.4678714859437751,233,498,-0.0062039691042480504,-0.006203969104248086
D'Angelo Russell,0.41147284599554407,0.4051724137931034,94,232,-0.006300432202440626,-0.006300432202440642
Russell Westbrook,0.43719730002774776,0.43045387994143486,294,683,-0.006743420086312899,-0.006743420086312901
Kyle Kuzma,0.48880190848976257,0.48118811881188117,243,505,-0.007613789677881374,-0.0076137896778814
Caris LeVert,0.4396281318961343,0.43162393162393164,101,234,-0.008004200272202652,-0.008004200272202666
Tyler Kolek,0.43107288377522746,0.42272727272727273,93,220,-0.008345611047954723,-0.008345611047954726
Nickeil Alexander-Walker,0.4413108818895262,0.4329411764705882,368,850,-0.008369705418938002,-0.008369705418938
Scottie Barnes,0.5123498184299589,0.5037220843672456,406,806,-0.008627734062713216,-0.008627734062713222
Alperen Sengun,0.5064288002426991,0.49731182795698925,370,744,-0.009116972285709844,-0.009116972285709846
Kobe Sanders,0.44472303613708125,0.4356060606060606,115,264,-0.009116975531020614,-0.009116975531020644
Pat Spencer,0.44515033567207035,0.43577981651376146,95,218,-0.009370519158308879,-0.009370519158308888
Jabari Smith Jr.,0.4463288098887372,0.4367283950617284,283,648,-0.009600414827008774,-0.009600414827008796
Jaden Hardy,0.4130476215884438,0.40298507462686567,81,201,-0.010062546961578146,-0.010062546961578156
Aaron Wiggins,0.4537461987613301,0.44352617079889806,161,363,-0.010220027962432007,-0.010220027962432043
Dominick Barlow,0.5676807145089311,0.5572519083969466,146,262,-0.010428806111984488,-0.01042880611198449
Jordan Clarkson,0.44244684659707356,0.4314214463840399,173,401,-0.011025400213033672,-0.011025400213033665
Drake Powell,0.4417392307886896,0.430622009569378,90,209,-0.011117221219311559,-0.01111722121931158
Kyle Filipowski,0.49777850849426486,0.48641975308641977,197,405,-0.011358755407845105,-0.01135875540784509
Jay Huff,0.48083050732115756,0.4693333333333333,176,375,-0.011497173987824209,-0.011497173987824238
Tari Eason,0.4626183124940059,0.45110410094637227,143,317,-0.011514211547633733,-0.011514211547633657
Domantas Sabonis,0.5545181496200646,0.5429864253393665,120,221,-0.011531724280698128,-0.011531724280698152
Daniss Jenkins,0.4364456915055206,0.42474916387959866,127,299,-0.011696527625921877,-0.011696527625921938
