x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance
44.321608040201,-2.251980510656285,-3.0933022864431785,-1.4106587348693909,NBA,Shot Distance,2014-2024,13.0
44.62311557788944,-2.28059905203685,-3.123257217528339,-1.4379408865453605,NBA,Shot Distance,2014-2024,13.0
44.92462311557789,-2.308315492530384,-3.152372338537008,-1.464258646523759,NBA,Shot Distance,2014-2024,13.0
45.226130653266324,-2.3352065488730314,-3.180749229738063,-1.489663868008,NBA,Shot Distance,2014-2024,13.0
45.52763819095477,-2.361348937800936,-3.2084896121878614,-1.514208263414011,NBA,Shot Distance,2014-2024,13.0
45.82914572864321,-2.3868193760502425,-3.2356944439358575,-1.537944308164628,NBA,Shot Distance,2014-2024,13.0
46.130653266331656,-2.4116945803570937,-3.262463128644667,-1.5609260320695209,NBA,Shot Distance,2014-2024,13.0
46.4321608040201,-2.4360512674576342,-3.288892838650578,-1.5832096962646909,NBA,Shot Distance,2014-2024,13.0
46.73366834170854,-2.459966154088006,-3.3150779549696603,-1.6048543532063513,NBA,Shot Distance,2014-2024,13.0
47.03517587939698,-2.4835159569843555,-3.341109626775923,-1.6259222871927883,NBA,Shot Distance,2014-2024,13.0
47.336683417085425,-2.506777392882825,-3.367075452449071,-1.6464793333165793,NBA,Shot Distance,2014-2024,13.0
47.63819095477386,-2.5298271785195587,-3.393059283461308,-1.6665950735778101,NBA,Shot Distance,2014-2024,13.0
47.939698492462306,-2.552742030630701,-3.4191411512312992,-1.6863429100301026,NBA,Shot Distance,2014-2024,13.0
48.24120603015075,-2.575598665952395,-3.445397315731541,-1.7058000161732494,NBA,Shot Distance,2014-2024,13.0
48.54271356783919,-2.598473801220785,-3.471900433219372,-1.7250471692221976,NBA,Shot Distance,2014-2024,13.0
48.84422110552764,-2.621444153172014,-3.4987198391001115,-1.7441684672439162,NBA,Shot Distance,2014-2024,13.0
49.145728643216074,-2.644586438542227,-3.5259219407402,-1.7632509363442535,NBA,Shot Distance,2014-2024,13.0
49.44723618090452,-2.6679773740675676,-3.553570714123577,-1.7823840340115589,NBA,Shot Distance,2014-2024,13.0
49.74874371859296,-2.6916936764841792,-3.5817282976494296,-1.8016590553189287,NBA,Shot Distance,2014-2024,13.0
50.0502512562814,-2.715812062528206,-3.6104556761314157,-1.8211684489249955,NBA,Shot Distance,2014-2024,13.0
50.35175879396984,-2.7404092489357916,-3.6398134481664544,-1.8410050497051285,NBA,Shot Distance,2014-2024,13.0
50.65326633165829,-2.76556195244308,-3.6698626704474684,-1.8612612344386923,NBA,Shot Distance,2014-2024,13.0
50.95477386934673,-2.7913405631308685,-3.7006605831804755,-1.8820205430812613,NBA,Shot Distance,2014-2024,13.0
51.256281407035175,-2.817745162597396,-3.732208741336537,-1.903281583858255,NBA,Shot Distance,2014-2024,13.0
51.55778894472361,-2.844731964170478,-3.7644739850763775,-1.9249899432645785,NBA,Shot Distance,2014-2024,13.0
51.859296482412056,-2.8722565142428884,-3.797422915552148,-1.9470901129336293,NBA,Shot Distance,2014-2024,13.0
52.1608040201005,-2.9002743592073963,-3.8310216880679597,-1.9695270303468329,NBA,Shot Distance,2014-2024,13.0
52.46231155778894,-2.928741045456775,-3.8652353524862475,-1.992246738427302,NBA,Shot Distance,2014-2024,13.0
52.76381909547738,-2.9576121193837945,-3.900027285308709,-2.0151969534588807,NBA,Shot Distance,2014-2024,13.0
