player,avg_sdi,avg_xG,actual_goal_pct,attempts,residual
Klas Dahlbeck,0.48107240586436195,0.02546175251968502,0.023622047244094488,254,-0.0018397052755905335
Philippe Myers,0.48081529662269346,0.023590746946236547,0.02795698924731183,465,0.004366242301075282
Simon Benoit,0.48073335732696343,0.025652741452054782,0.01643835616438356,365,-0.009214385287671222
Kevin Connauton,0.48068581520876436,0.025479345015479868,0.04179566563467492,646,0.01631632061919505
Fedor Tyutin,0.48068565578528644,0.021580515771144265,0.024875621890547265,201,0.0032951061194030004
Toby Enstrom,0.48068030918633653,0.02948828859060401,0.026845637583892617,298,-0.0026426510067113947
Urho Vaakanainen,0.48066197632543495,0.02247305620817843,0.007434944237918215,269,-0.015038111970260216
Arber Xhekaj,0.4805803940056863,0.024488470620915023,0.029411764705882353,306,0.00492329408496733
Ty Emberson,0.4805156649001324,0.02069659289655171,0.020689655172413793,145,-6.937724137918294e-06
Zdeno Chara,0.4804275856600224,0.030791817853982287,0.03761061946902655,1356,0.006818801615044265
Jacob Larsson,0.4803576862558552,0.020670125599999988,0.012,250,-0.008670125599999988
Dennis Seidenberg,0.48028749281601923,0.02400308381578946,0.02368421052631579,380,-0.000318873289473668
Mark Fayne,0.4802830742076444,0.024030294134615368,0.019230769230769232,208,-0.004799524903846136
Joakim Ryan,0.47999057091875663,0.026442566625514387,0.01646090534979424,243,-0.009981661275720147
James Wisniewski,0.4799725495501923,0.04679109522388058,0.03980099502487562,201,-0.0069901001990049574
Nick Seeler,0.47982520040914733,0.02673516062499999,0.018581081081081082,592,-0.008154079543918908
Patrick Wiercioch,0.47982323318567777,0.03279746873754151,0.029900332225913623,301,-0.0028971365116278874
Josh Brown,0.4797935674731653,0.030412682301136352,0.03125,352,0.0008373176988636481
Kevin Bahl,0.47973350482208166,0.024825781293375385,0.022082018927444796,317,-0.002743762365930588
Adam McQuaid,0.47968254566706653,0.02139913453521125,0.02535211267605634,355,0.003952978140845088
Steven Kampfer,0.47956212655447833,0.02916100963333332,0.03,300,0.0008389903666666775
Dan Girardi,0.4794762368050659,0.03387563682926828,0.03353658536585366,656,-0.0003390514634146191
Luke Schenn,0.4794595590664274,0.025943857836846915,0.022914757103574702,1091,-0.0030291007332722136
Vincent Desharnais,0.4794564771879567,0.020588549578313246,0.006024096385542169,166,-0.014564453192771077
Mark Stuart,0.4794116490073276,0.02786785166666666,0.03333333333333333,180,0.0054654816666666745
Kyle Quincey,0.47940517096454816,0.0320506570447761,0.03880597014925373,335,0.006755313104477627
Jared Cowen,0.47929456306645307,0.024910776534653453,0.0297029702970297,101,0.004792193762376249
Marek Zidlicky,0.4792243435752442,0.04314616349090908,0.04,275,-0.0031461634909090777
Brad Hunt,0.47919687913732195,0.03131064844628098,0.04297520661157025,605,0.011664558165289267
Derek Forbort,0.4788579506064804,0.02169981423349055,0.025943396226415096,848,0.004243581992924544
Brandon Carlo,0.47866652486771794,0.02803336680183625,0.026013771996939557,1307,-0.002019594804896694
Andreas Englund,0.47852612020779145,0.024440544779874205,0.012578616352201259,159,-0.011861928427672946
Drew Doughty,0.4784949779322447,0.03792543805602715,0.044142614601018676,2356,0.006217176544991529
Ryan Ellis,0.478261361068282,0.03755105444124007,0.05191059841384282,1387,0.01435954397260275
Gustav Lindstrom,0.47825193862628845,0.029962578881578945,0.03289473684210526,152,0.002932157960526316
Michal Kempny,0.47820536705508687,0.025583551374999985,0.030357142857142857,560,0.004773591482142871
Roman Polak,0.47806312517805793,0.030767683363914358,0.019877675840978593,654,-0.010890007522935764
Dylan Samberg,0.4779394239023787,0.02276511825857519,0.023746701846965697,379,0.0009815835883905076
Joel Edmundson,0.4779156390461526,0.03118015075930143,0.031131359149582385,1317,-4.87916097190455e-05
Egor Zamula,0.47774421236920267,0.02702745189655172,0.04597701149425287,174,0.018949559597701154
Marcus Pettersson,0.47767491589401334,0.028907103005025112,0.018090452261306532,995,-0.01081665074371858
Cody Franson,0.47762661964373504,0.029420662558593734,0.029296875,512,-0.00012378755859373397
Dakota Mermis,0.47727431948216215,0.024890661949152536,0.03389830508474576,118,0.009007643135593227
Jalen Chatfield,0.47727222443238704,0.03038144969798657,0.03859060402684564,596,0.008209154328859068
Jake Christiansen,0.4772609208425667,0.024235101986754954,0.013245033112582781,151,-0.010990068874172173
Xavier Ouellet,0.477260610491333,0.026517561420289843,0.014492753623188406,345,-0.012024807797101437
Andrew MacDonald,0.4771902952557062,0.031501692126168206,0.03271028037383177,428,0.0012085882476635668
Rasmus Ristolainen,0.477065055736054,0.03724706168150863,0.028810895756940808,1909,-0.008436165924567824
Mark Streit,0.4770369543560782,0.04210075544933078,0.040152963671128104,523,-0.0019477917782026732
Neal Pionk,0.4770295001500176,0.03033059212523718,0.028462998102466792,1581,-0.00186759402277039
Matt Niskanen,0.47699107226749193,0.02994082213963962,0.03003003003003003,1332,8.92078903904081e-05
Dennis Wideman,0.476952832910783,0.036557788615984396,0.042884990253411304,513,0.0063272016374269074
Sam Malinski,0.47693718784480044,0.02693209434210525,0.03508771929824561,228,0.008155624956140362
Jacob Bernard-Docker,0.4768953069964542,0.023544454623655904,0.03225806451612903,186,0.008713609892473127
Jyrki Jokipakka,0.4767979509081666,0.027081233291925452,0.018633540372670808,161,-0.008447692919254644
Nathan Beaulieu,0.4766772181237033,0.028570863958904093,0.01643835616438356,730,-0.012132507794520533
Henri Jokiharju,0.4764791760174162,0.02706789876093293,0.027696793002915453,686,0.0006288942419825222
Darren Raddysh,0.4764553660703136,0.029014145520581104,0.03389830508474576,413,0.0048841595641646585
Mark Borowiecki,0.4763590398402399,0.028112404415357752,0.02443280977312391,573,-0.003679594642233844
Calvin de Haan,0.4763505470857102,0.024619539252265846,0.01661631419939577,1324,-0.008003225052870076
Jarred Tinordi,0.47624529747754496,0.02042106220095693,0.019138755980861243,209,-0.0012823062200956852
Dylan DeMelo,0.47605538494737304,0.02806468361545537,0.01839926402943882,1087,-0.00966541958601655
Justin Falk,0.47602381997052795,0.023671877283950604,0.012345679012345678,162,-0.011326198271604925
Ryan Pulock,0.475932821015942,0.032452723672486444,0.03672486453943408,1661,0.004272140866947632
Adam Clendening,0.4758984071279606,0.025262474550898188,0.023952095808383235,167,-0.0013103787425149532
Artem Zub,0.4757867128065427,0.03485416667386608,0.04103671706263499,463,0.006182550388768908
Alexander Romanov,0.4756918889458302,0.0239014224587912,0.024725274725274724,728,0.0008238522664835227
Alexander Edler,0.4756633298474723,0.025485804613402052,0.029639175257731958,1552,0.004153370644329905
Zach Trotman,0.47563871397404117,0.02163550494791665,0.015625,192,-0.006010504947916651
Dylan Coghlan,0.47561225872925306,0.03091932445692883,0.02247191011235955,267,-0.00844741434456928
Kevan Miller,0.4755964942648031,0.024296826336842093,0.02736842105263158,475,0.003071594715789487
Jake Walman,0.47544218068009286,0.03524584363417568,0.039711191335740074,831,0.004465347701564391
Brian Campbell,0.47541087300898643,0.03514299283687942,0.03309692671394799,423,-0.002046066122931428
Ian Cole,0.47529609507419296,0.027542818454731097,0.0224642614023145,1469,-0.005078557052416596
Jaccob Slavin,0.4752665722503696,0.03203345710297482,0.029290617848970253,2185,-0.0027428392540045643
Mirco Mueller,0.475261658389305,0.031820714923076907,0.02564102564102564,195,-0.006179689282051266
Andrew Peeke,0.47525938470144097,0.026787205696202524,0.023206751054852322,474,-0.0035804546413502024
Haydn Fleury,0.4752263793766386,0.028031304904013954,0.020942408376963352,573,-0.007088896527050602
Nils Lundkvist,0.4751602147717086,0.025498242341597786,0.024793388429752067,363,-0.0007048539118457188
Mike Reilly,0.4750563976053993,0.028112383393025436,0.017907634307257305,1061,-0.010204749085768131
Andrej Sekera,0.4750199801543089,0.03126303921022066,0.027874564459930314,861,-0.003388474750290346
Will Borgen,0.47501483835289376,0.024831068084210515,0.029473684210526315,475,0.0046426161263158
Gustav Forsling,0.4749303663598857,0.032321860898513244,0.04201680672268908,1547,0.009694945824175835
Jani Hakanpaa,0.47482818125658727,0.025080954406779654,0.03389830508474576,354,0.008817350677966108
Brent Burns,0.4747927468136791,0.03396236161856126,0.040408525754884544,4504,0.006446164136323283
Alexey Marchenko,0.47477257756426333,0.027368541458333322,0.027777777777777776,144,0.00040923631944445385
Casey Nelson,0.4747143763837525,0.02460570057553955,0.02877697841726619,139,0.004171277841726637
Matt Bartkowski,0.4746397020224501,0.026832177558528413,0.026755852842809364,299,-7.632471571904914e-05
Joel Hanley,0.47459112206617166,0.023780449081272075,0.02120141342756184,283,-0.0025790356537102356
Jake Muzzin,0.47457397629138925,0.02936566583726414,0.036556603773584904,1696,0.007190937936320765
Ilya Lyubushkin,0.47452560211383016,0.026320461937499987,0.0125,480,-0.013820461937499987
Tom Gilbert,0.47451854417328226,0.02436756559139784,0.043010752688172046,186,0.018643187096774205
Ben Chiarot,0.474464467149087,0.029178280498381868,0.02977346278317152,1545,0.0005951822847896533
Alexander Alexeyev,0.4743741655528183,0.02187591629629628,0.009259259259259259,108,-0.012616657037037023
Matt Irwin,0.47434802158239264,0.02475466668531467,0.023776223776223775,715,-0.0009784429090908958
Mark Barberio,0.47425234431326485,0.03433507239608801,0.022004889975550123,409,-0.012330182420537888
Christian Jaros,0.4742145372322862,0.025684361403508757,0.008771929824561403,114,-0.016912431578947354
Danny DeKeyser,0.47421292272383514,0.02890639048209365,0.04132231404958678,726,0.012415923567493128
Jeff Petry,0.474196610567074,0.033199168772175526,0.04108309990662932,2142,0.007883931134453792
Ryan Graves,0.474174833822934,0.030088240620475687,0.03516028955532575,967,0.005072048934850061
Brayden McNabb,0.4741199121380178,0.02850828295205478,0.025342465753424658,1460,-0.003165817198630124
Marco Scandella,0.4740689987134747,0.03084706044934639,0.0392156862745098,1224,0.008368625825163414
Jake Dotchin,0.4740302605393884,0.023408217705882344,0.01764705882352941,170,-0.005761158882352933
Colton Parayko,0.4739035013236389,0.030197922939941186,0.03611927761444771,2381,0.005921354674506527
Frank Corrado,0.47369861602672275,0.024877451333333318,0.01904761904761905,105,-0.005829832285714268
Chris Tanev,0.473650411413947,0.01954474430107526,0.025089605734767026,279,0.005544861433691765
Connor Murphy,0.4736494593489779,0.02564601355932202,0.032357473035439135,1298,0.006711459476117114
Jack Johnson,0.47360613840095894,0.03050970087677724,0.02764612954186414,1266,-0.0028635713349130995
Paul Martin,0.4735590124330415,0.02847033839743588,0.035256410256410256,312,0.006786071858974375
Matt Roy,0.4734532958621925,0.031664970450044995,0.025202520252025202,1111,-0.006462450198019793
Jan Rutta,0.4733545305459922,0.02712199913563829,0.034574468085106384,752,0.007452468949468095
Adam Larsson,0.4732866600664503,0.030010194891435454,0.031966224366706875,1658,0.001956029475271421
Andrei Markov,0.4731530692365766,0.0372608695892857,0.039285714285714285,560,0.0020248446964285863
Luca Sbisa,0.47309072004891495,0.02772911510471203,0.031413612565445025,382,0.0036844974607329953
Erik Karlsson,0.47303957284377135,0.03329634133414931,0.043451652386780906,3268,0.010155311052631594
