x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_value
31.520868675496473,-0.09684561017977417,-0.33415711519564517,0.14046589483609684,NHL,shotAngle,2014-2024,0.0
32.41041513839497,-0.1052128943595681,-0.3432451262911581,0.1328193375720219,NHL,shotAngle,2014-2024,0.0
33.29996160129346,-0.11374027953722055,-0.35255430887036193,0.12507374979592079,NHL,shotAngle,2014-2024,0.0
34.189508064191955,-0.12241431828659977,-0.36205985469385893,0.1172312181206594,NHL,shotAngle,2014-2024,0.0
35.07905452709045,-0.13122156318157413,-0.37173800851042893,0.10929488214728067,NHL,shotAngle,2014-2024,0.0
35.96860098998894,-0.1401485667960119,-0.38156685439425625,0.10126972080223251,NHL,shotAngle,2014-2024,0.0
36.85814745288744,-0.14918188170378144,-0.39152715174489194,0.09316338833732907,NHL,shotAngle,2014-2024,0.0
37.747693915785916,-0.1583080604787508,-0.4016032197236999,0.08498709876619837,NHL,shotAngle,2014-2024,0.0
38.63724037868441,-0.16751721263585867,-0.4117872075081085,0.07675278223639115,NHL,shotAngle,2014-2024,0.0
39.526786841582904,-0.17682139862729374,-0.4220964811321727,0.06845368387758521,NHL,shotAngle,2014-2024,0.0
40.4163333044814,-0.18624104430368693,-0.43255902501217874,0.06007693640480494,NHL,shotAngle,2014-2024,0.0
41.30587976737989,-0.195796591982989,-0.44320413587403257,0.05161095190805465,NHL,shotAngle,2014-2024,0.0
42.195426230278386,-0.20550848398315102,-0.4540612932564328,0.0430443252901308,NHL,shotAngle,2014-2024,0.0
43.08497269317688,-0.21539716262212377,-0.4651591850199935,0.03436485977574588,NHL,shotAngle,2014-2024,0.0
43.974519156075374,-0.22548307021785802,-0.47652487235953106,0.02555873192381497,NHL,shotAngle,2014-2024,0.0
44.86406561897387,-0.2357866490883045,-0.4881830952547061,0.016609797078097066,NHL,shotAngle,2014-2024,0.0
45.75361208187236,-0.2463283415514142,-0.5001557191422645,0.0074990360394361355,NHL,shotAngle,2014-2024,0.0
46.643158544770856,-0.25712858992513776,-0.5124613225059056,-0.0017958573443700443,NHL,shotAngle,2014-2024,0.0
47.53270500766935,-0.26820783652742614,-0.5251149231796888,-0.011300749875163496,NHL,shotAngle,2014-2024,0.0
48.42225147056784,-0.27958652367623005,-0.5381278387157697,-0.021045208636690238,NHL,shotAngle,2014-2024,0.0
49.31179793346634,-0.2912850936895,-0.5515076735320257,-0.031062513846974338,NHL,shotAngle,2014-2024,0.0
50.2013443963648,-0.30332398888518725,-0.565258423109243,-0.04138955466113148,NHL,shotAngle,2014-2024,0.0
51.0908908592633,-0.31572365158124277,-0.5793806835964659,-0.052066619566019656,NHL,shotAngle,2014-2024,0.0
51.98043732216179,-0.32850452409561703,-0.5938719540730878,-0.06313709411814628,NHL,shotAngle,2014-2024,0.0
