player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Anze Kopitar,2014-2024,2456,23.12885190557447,0.1001628664495114,0.08020563778405167,0.019957228665459736,NHL,C
Mats Zuccarello,2014-2024,2453,25.011938131224028,0.08153281695882593,0.06911541295896505,0.012417403999860882,NHL,C
Patric Hornqvist,2014-2024,2433,21.405310002913602,0.07562679819153309,0.09079501350886335,-0.015168215317330258,NHL,W
Mattias Ekholm,2014-2024,2431,29.248558979181215,0.04031262854792267,0.04133478523894792,-0.0010221566910252541,NHL,D
Jacob Trouba,2014-2024,2424,29.103145354487868,0.028052805280528052,0.041334798192786515,-0.013281992912258463,NHL,D
Teuvo Teravainen,2014-2024,2423,25.67952738921507,0.07965332232769294,0.06621551350680524,0.0134378088208877,NHL,W
Bryan Rust,2014-2024,2410,22.22807129936135,0.09211618257261411,0.08894890426143691,0.0031672783111772046,NHL,W
Mark Giordano,2014-2024,2399,29.29315727730652,0.042934556065027094,0.03512564043102439,0.007808915634002704,NHL,D
Jakob Silfverberg,2014-2024,2382,24.632236906317036,0.06801007556675064,0.0707340937939888,-0.0027240182272381674,NHL,W
Colton Parayko,2014-2024,2381,29.3730372019394,0.03611927761444771,0.03756451175578487,-0.0014452341413371539,NHL,D
Mark Stone,2014-2024,2371,21.86187900860818,0.11261071277941796,0.09138386033964079,0.021226852439777177,NHL,W
Drew Doughty,2014-2024,2356,28.996344493533787,0.044142614601018676,0.04018548124426685,0.003957133356751824,NHL,D
Tyson Barrie,2014-2024,2348,28.346906329371258,0.041737649063032366,0.038942825092206694,0.0027948239708256717,NHL,D
Mikael Granlund,2014-2024,2345,24.121752151461692,0.0767590618336887,0.07830860419372421,-0.0015495423600355024,NHL,C
Shea Theodore,2014-2024,2339,27.310972456215826,0.04061564771269773,0.039841245911343366,0.0007744018013543658,NHL,D
William Karlsson,2014-2024,2333,22.66428676355022,0.09087012430347192,0.08802434972367668,0.002845774579795249,NHL,C
Zach Werenski,2014-2024,2329,28.068870972373492,0.0502361528553027,0.04661885717676655,0.0036172956785361504,NHL,D
Shayne Gostisbehere,2014-2024,2327,28.195654885808313,0.046841426729694886,0.04005354789386096,0.006787878835833927,NHL,D
Tomas Tatar,2014-2024,2323,22.459642020573387,0.08996986655187258,0.08426925282750301,0.0057006137243695715,NHL,W
Frank Vatrano,2014-2024,2313,25.10144436786287,0.08084738434932988,0.07005229637711803,0.010795087972211848,NHL,C
Kevin Hayes,2014-2024,2312,25.455935070365687,0.08217993079584775,0.07363310975679166,0.008546821039056088,NHL,W
Brandon Montour,2014-2024,2305,29.085712033020343,0.04121475054229935,0.045257505446555504,-0.004042754904256152,NHL,D
Lars Eller,2014-2024,2303,24.044750191068676,0.06643508467216674,0.07215632596852378,-0.005721241296357038,NHL,C
Travis Konecny,2014-2024,2299,24.56313263427931,0.08568943018703784,0.07628399926923475,0.00940543091780309,NHL,W
Adrian Kempe,2014-2024,2281,24.58124282022749,0.0920648838228847,0.07332153743667583,0.01874334638620888,NHL,W
Patrik Laine,2014-2024,2278,25.673230880727736,0.10184372256365233,0.060922319093113506,0.040921403470538825,NHL,W
Charlie Coyle,2014-2024,2272,23.34687771402962,0.0840669014084507,0.0838322998776562,0.00023460153079450652,NHL,C
Mitchell Marner,2014-2024,2249,23.233294407999093,0.08981769675411294,0.07475250077768829,0.015065195976424653,NHL,C
Zach Parise,2014-2024,2245,21.852626852315122,0.09175946547884187,0.09269604974257188,-0.0009365842637300142,NHL,W
Noah Hanifin,2014-2024,2244,29.379538625275252,0.03342245989304813,0.03750582999991364,-0.004083370106865512,NHL,D
Oliver Bjorkstrand,2014-2024,2241,24.022924261134413,0.08121374386434628,0.0742142245319564,0.006999519332389875,NHL,W
Gustav Nyquist,2014-2024,2231,23.1585943628796,0.08068130883012102,0.07908808563891931,0.001593223191201712,NHL,C
Blake Coleman,2014-2024,2218,23.030884905431474,0.07303877366997295,0.07797070569513344,-0.004931932025160485,NHL,C
Jordan Staal,2014-2024,2208,21.049198724274827,0.07653985507246377,0.0967334510340523,-0.020193595961588526,NHL,C
Clayton Keller,2014-2024,2207,24.884989974474077,0.09062075215224287,0.07195972757248399,0.018661024579758878,NHL,C
Ondrej Palat,2014-2024,2197,21.42286213495173,0.09103322712790168,0.08570402724951676,0.005329199878384927,NHL,W
Jaccob Slavin,2014-2024,2185,31.168350849771887,0.029290617848970253,0.03715409823493229,-0.00786348038596204,NHL,D
T.J. Oshie,2014-2024,2181,20.79516937493117,0.11095827602017423,0.0901559478901538,0.020802328130020434,NHL,W
Alex Tuch,2014-2024,2175,22.957246223690984,0.08551724137931034,0.08462879580676108,0.0008884455725492596,NHL,W
Sean Couturier,2014-2024,2169,23.41447310903136,0.0834485938220378,0.08571858232541817,-0.0022699885033803657,NHL,C
Ryan Suter,2014-2024,2165,30.50240981954562,0.02725173210161663,0.0340809041238166,-0.006829172022199969,NHL,D
Andrei Svechnikov,2014-2024,2162,23.856657690241747,0.08048103607770583,0.08253040381079502,-0.002049367733089183,NHL,W
Gabriel Landeskog,2014-2024,2147,23.038528513026975,0.09874243129948766,0.08156978953054582,0.017172641768941843,NHL,W
Jeff Petry,2014-2024,2142,30.247193305411916,0.04108309990662932,0.03785561073371391,0.003227489172915411,NHL,D
Jared McCann,2014-2024,2140,25.382400171646623,0.08644859813084112,0.0662392935748459,0.02020930455599522,NHL,W
Ryan Strome,2014-2024,2140,23.90942883669807,0.07663551401869159,0.07974761998012907,-0.003112105961437475,NHL,C
Jakub Voracek,2014-2024,2127,25.44591515587071,0.05923836389280677,0.06464822581361761,-0.005409861920810839,NHL,W
Tyler Johnson,2014-2024,2126,22.58173777685216,0.09266227657572906,0.07873962055439854,0.013922656021330526,NHL,C
Brady Skjei,2014-2024,2109,29.648430073470834,0.04030346135609293,0.0382298453823926,0.0020736159737003296,NHL,D
Adam Henrique,2014-2024,2107,21.103542226906026,0.10963455149501661,0.09363761281774154,0.01599693867727507,NHL,C
Brock Boeser,2014-2024,2104,22.38415788044541,0.10218631178707224,0.0825507693216528,0.019635542465419445,NHL,W
Tom Wilson,2014-2024,2081,22.076189183387683,0.09322441134070159,0.0869406745116394,0.006283736829062192,NHL,W
Jakob Chychrun,2014-2024,2077,28.782261140484845,0.04814636494944632,0.042561104520272584,0.005585260429173733,NHL,D
Max Domi,2014-2024,2069,24.627836624614655,0.07153214113098115,0.07002972608816628,0.0015024150428148697,NHL,C
Nick Bjugstad,2014-2024,2053,24.01939701697105,0.07111544081831467,0.07973933149161214,-0.008623890673297469,NHL,C
Ryan Hartman,2014-2024,2043,25.049980979713037,0.07195301027900147,0.07425037943159393,-0.00229736915259246,NHL,W
Pierre-Luc Dubois,2014-2024,2043,21.482623552638334,0.08565834557023984,0.09247255440696195,-0.00681420883672211,NHL,W
John Klingberg,2014-2024,2033,27.544895650761525,0.04525332021642892,0.04279321277037458,0.0024601074460543423,NHL,D
Kyle Okposo,2014-2024,2022,22.854188855521723,0.07270029673590504,0.07397682544995203,-0.0012765287140469872,NHL,W
Eric Staal,2014-2024,2019,23.721905966920538,0.08469539375928678,0.08144660410166014,0.0032487896576266356,NHL,C
Jean-Gabriel Pageau,2014-2024,2017,23.170576631154777,0.08527516113039167,0.08439536065452094,0.0008798004758707317,NHL,C
Dustin Brown,2014-2024,2009,24.172321083270447,0.0627177700348432,0.07460390436996829,-0.011886134335125087,NHL,W
Josh Anderson,2014-2024,2004,22.41819631783574,0.07634730538922156,0.08533561242176069,-0.008988307032539125,NHL,W
Artturi Lehkonen,2014-2024,1990,21.834361882631754,0.08592964824120602,0.0899145805402391,-0.003984932299033073,NHL,W
